iter	Passed	Remaining
0	3	304
1	4	220
2	7	229
3	9	234
4	12	239
5	15	237
6	17	233
7	19	227
8	22	223
9	23	209
10	25	206
11	27	204
12	30	202
13	32	198
14	33	191
15	36	190
16	38	187
17	40	185
18	42	183
19	43	174
20	45	172
21	46	164
22	48	162
23	50	160
24	52	158
25	54	155
26	56	153
27	58	151
28	60	149
29	62	146
30	63	142
31	65	138
32	67	136
33	69	134
34	71	132
35	73	130
36	75	127
37	77	125
38	78	122
39	80	120
40	82	118
41	84	116
42	86	114
43	88	113
44	91	111
45	92	108
46	94	106
47	96	104
48	98	102
49	100	100
50	102	98
51	104	96
52	106	94
53	108	92
54	110	90
55	112	88
56	115	86
57	117	84
58	119	82
59	121	81
60	123	79
61	125	77
62	127	75
63	129	72
64	131	71
65	134	69
66	136	67
67	136	64
68	138	62
69	140	60
70	142	58
71	144	56
72	146	54
73	148	52
74	150	50
75	152	48
76	154	46
77	156	44
78	158	42
79	160	40
80	162	38
81	164	36
82	165	33
83	167	31
84	169	29
85	171	27
86	173	25
87	175	23
88	177	21
89	179	19
90	181	17
91	183	15
92	185	13
93	186	11
94	188	9
95	190	7
96	192	5
97	194	3
98	196	1
99	198	0
